IBGE,Metropolitan Area,Month,Year,Category,Weight,Variation
,Fortaleza,11,2012,Food and Beverages,31.1347,0.66
,Fortaleza,12,2012,Food and Beverages,31.1682,1.5
,Fortaleza,1,2013,Food and Beverages,31.2812,1.9
,Fortaleza,2,2013,Food and Beverages,31.6055,1.87
,Fortaleza,3,2013,Food and Beverages,31.9611,1.3
,Fortaleza,4,2013,Food and Beverages,32.1681,1.42
,Fortaleza,5,2013,Food and Beverages,32.3787,0.45
,Fortaleza,6,2013,Food and Beverages,32.4101,-0.36
,Fortaleza,7,2013,Food and Beverages,32.2049,-0.03
,Fortaleza,8,2013,Food and Beverages,32.0844,-0.32
,Fortaleza,9,2013,Food and Beverages,31.9882,0.67
,Fortaleza,10,2013,Food and Beverages,32.0621,0.05
,Fortaleza,11,2013,Food and Beverages,31.9741,0.68
,Fortaleza,12,2013,Food and Beverages,31.9161,0.36
,Fortaleza,1,2014,Food and Beverages,31.8298,0.4
,Fortaleza,2,2014,Food and Beverages,31.8687,0.11
,Fortaleza,3,2014,Food and Beverages,31.8281,0.93
,Fortaleza,4,2014,Food and Beverages,31.9009,2.12
,Fortaleza,5,2014,Food and Beverages,32.2337,1.2
,Fortaleza,6,2014,Food and Beverages,32.3,0.79
,Fortaleza,7,2014,Food and Beverages,32.3814,-0.57
,Fortaleza,8,2014,Food and Beverages,32.2074,-0.02
,Fortaleza,9,2014,Food and Beverages,32.1457,0.97
,Fortaleza,10,2014,Food and Beverages,32.3113,0.17
,Fortaleza,11,2014,Food and Beverages,32.2798,0.47
,Fortaleza,12,2014,Food and Beverages,32.2128,0.26
,Fortaleza,1,2015,Food and Beverages,32.1316,0.94
,Fortaleza,2,2015,Food and Beverages,32.1526,1.18
,Fortaleza,3,2015,Food and Beverages,32.2623,1.03
,Fortaleza,4,2015,Food and Beverages,32.1033,0.93
,Fortaleza,5,2015,Food and Beverages,32.1899,1.79
,Fortaleza,6,2015,Food and Beverages,32.3616,1.13
,Fortaleza,7,2015,Food and Beverages,32.3754,0.51
,Fortaleza,8,2015,Food and Beverages,32.3879,0.53
,Fortaleza,9,2015,Food and Beverages,32.4061,0.5
,Fortaleza,10,2015,Food and Beverages,32.3699,0.39
,Fortaleza,11,2015,Food and Beverages,32.2993,1.34
,Fortaleza,12,2015,Food and Beverages,32.3639,1.94
,Fortaleza,1,2016,Food and Beverages,32.5591,2.09
,Fortaleza,2,2016,Food and Beverages,32.8424,1.51
,Fortaleza,3,2016,Food and Beverages,33.0784,0.87
,Fortaleza,4,2016,Food and Beverages,33.1325,1.04
,Fortaleza,5,2016,Food and Beverages,33.1469,0.94
,Fortaleza,6,2016,Food and Beverages,33.1126,0.57
,Fortaleza,7,2016,Food and Beverages,33.1141,2.06
,Fortaleza,8,2016,Food and Beverages,33.5035,1.64
,Fortaleza,9,2016,Food and Beverages,33.8267,0.55
,Fortaleza,10,2016,Food and Beverages,33.8596,0.56
,Fortaleza,11,2016,Food and Beverages,33.9588,-0.56
,Fortaleza,12,2016,Food and Beverages,33.7783,0.19
,Fortaleza,1,2017,Food and Beverages,33.6743,0.11
,Fortaleza,2,2017,Food and Beverages,33.5764,-0.35
,Fortaleza,3,2017,Food and Beverages,33.3699,0.42
,Fortaleza,4,2017,Food and Beverages,33.2997,0.25
,Fortaleza,5,2017,Food and Beverages,33.3628,-1.15
,Fortaleza,6,2017,Food and Beverages,32.9171,-0.17
,Fortaleza,7,2017,Food and Beverages,32.874,-0.16
,Fortaleza,8,2017,Food and Beverages,32.7638,-0.51
,Fortaleza,9,2017,Food and Beverages,32.6298,-0.5
,Fortaleza,10,2017,Food and Beverages,32.409,-0.29
,Fortaleza,11,2017,Food and Beverages,32.2172,-1.42
,Fortaleza,12,2017,Food and Beverages,31.8515,0.4
,Fortaleza,1,2018,Food and Beverages,31.827,0.31
,Fortaleza,2,2018,Food and Beverages,31.873,-0.63
,Fortaleza,3,2018,Food and Beverages,31.6726,-0.58
,Fortaleza,4,2018,Food and Beverages,31.423,0.1
,Fortaleza,5,2018,Food and Beverages,31.3809,-0.21
,Fortaleza,6,2018,Food and Beverages,31.1953,2.54
,Fortaleza,7,2018,Food and Beverages,31.5814,0.19
,Fortaleza,8,2018,Food and Beverages,31.5964,-0.05
,Fortaleza,9,2018,Food and Beverages,31.6532,0.4
,Fortaleza,10,2018,Food and Beverages,31.6843,-0.05
,Fortaleza,11,2018,Food and Beverages,31.499,0.58
,Fortaleza,12,2018,Food and Beverages,31.7395,0.22
,Fortaleza,1,2019,Food and Beverages,31.8061,0.08
,Recife,1,2012,Food and Beverages,24.99,0.15
,Recife,2,2012,Food and Beverages,24.9309,0.3
,Recife,3,2012,Food and Beverages,24.8191,0.11
,Recife,4,2012,Food and Beverages,24.738,0.64
,Recife,5,2012,Food and Beverages,24.7476,0.99
,Recife,6,2012,Food and Beverages,24.8433,1.03
,Recife,7,2012,Food and Beverages,25.0496,1.33
,Recife,8,2012,Food and Beverages,25.279,1.35
,Recife,9,2012,Food and Beverages,25.4885,2.43
,Recife,10,2012,Food and Beverages,25.8744,1.66
,Recife,11,2012,Food and Beverages,26.1186,0.55
,Recife,12,2012,Food and Beverages,26.1549,0.5
,Recife,1,2013,Food and Beverages,26.1148,1.89
,Recife,2,2013,Food and Beverages,26.3993,2.29
,Recife,3,2013,Food and Beverages,26.7636,0.54
,Recife,4,2013,Food and Beverages,26.827,1.3
,Recife,5,2013,Food and Beverages,26.9491,1.17
,Recife,6,2013,Food and Beverages,27.0724,-0.28
,Recife,7,2013,Food and Beverages,26.9256,0.3
,Recife,8,2013,Food and Beverages,26.9612,0.22
,Recife,9,2013,Food and Beverages,26.9284,-0.07
,Recife,10,2013,Food and Beverages,26.7704,0.69
,Recife,11,2013,Food and Beverages,26.7782,0.37
,Recife,12,2013,Food and Beverages,26.7808,0.67
,Recife,1,2014,Food and Beverages,26.7527,0.88
,Recife,2,2014,Food and Beverages,26.8666,-0.33
,Recife,3,2014,Food and Beverages,26.6485,0.87
,Recife,4,2014,Food and Beverages,26.7572,1.57
,Recife,5,2014,Food and Beverages,26.9692,1.11
,Recife,6,2014,Food and Beverages,26.9649,0.19
,Recife,7,2014,Food and Beverages,26.7969,0.4
,Recife,8,2014,Food and Beverages,26.9259,0.8
,Recife,9,2014,Food and Beverages,27.0184,0.83
,Recife,10,2014,Food and Beverages,27.0622,0.13
,Recife,11,2014,Food and Beverages,27.033,0.26
,Recife,12,2014,Food and Beverages,26.9793,0.24
,Recife,1,2015,Food and Beverages,26.9659,0.31
,Recife,2,2015,Food and Beverages,26.9309,1.2
,Recife,3,2015,Food and Beverages,26.8363,0.85
,Recife,4,2015,Food and Beverages,26.928,0.73
,Recife,5,2015,Food and Beverages,26.9257,1.99
,Recife,6,2015,Food and Beverages,27.0763,1.32
,Recife,7,2015,Food and Beverages,27.1406,1.67
,Recife,8,2015,Food and Beverages,27.3532,0.8
,Recife,9,2015,Food and Beverages,27.4656,0.15
,Recife,10,2015,Food and Beverages,27.4264,0.95
,Recife,11,2015,Food and Beverages,27.4618,1.13
,Recife,12,2015,Food and Beverages,27.5754,1.57
,Recife,1,2016,Food and Beverages,27.7667,2.13
,Recife,2,2016,Food and Beverages,28.0319,1.43
,Recife,3,2016,Food and Beverages,28.0999,-0.07
,Recife,4,2016,Food and Beverages,28.0995,1.4
,Recife,5,2016,Food and Beverages,28.3103,0.42
,Recife,6,2016,Food and Beverages,28.1853,0.26
,Recife,7,2016,Food and Beverages,28.1228,1.52
,Recife,8,2016,Food and Beverages,28.2812,0.54
,Recife,9,2016,Food and Beverages,28.4147,0.88
,Recife,10,2016,Food and Beverages,28.5206,0.07
,Recife,11,2016,Food and Beverages,28.46,0.13
,Recife,12,2016,Food and Beverages,28.3534,0.25
,Recife,1,2017,Food and Beverages,28.3377,-0.01
,Recife,2,2017,Food and Beverages,28.2777,-1.22
,Recife,3,2017,Food and Beverages,27.8785,0.86
,Recife,4,2017,Food and Beverages,27.9778,0.07
,Recife,5,2017,Food and Beverages,27.8756,-0.21
,Recife,6,2017,Food and Beverages,27.6241,-0.33
,Recife,7,2017,Food and Beverages,27.5195,0.39
,Recife,8,2017,Food and Beverages,27.5139,-0.44
,Recife,9,2017,Food and Beverages,27.3054,-0.69
,Recife,10,2017,Food and Beverages,27.1598,-0.72
,Recife,11,2017,Food and Beverages,26.9343,-0.71
,Recife,12,2017,Food and Beverages,26.6959,0.31
,Recife,1,2018,Food and Beverages,26.6919,0.11
,Recife,2,2018,Food and Beverages,26.7444,-0.42
,Recife,3,2018,Food and Beverages,26.576,-0.63
,Recife,4,2018,Food and Beverages,26.4976,0.24
,Recife,5,2018,Food and Beverages,26.4837,-0.06
,Recife,6,2018,Food and Beverages,26.2837,2.32
,Recife,7,2018,Food and Beverages,26.4825,-0.05
,Recife,8,2018,Food and Beverages,26.4427,0.32
,Recife,9,2018,Food and Beverages,26.5159,0.42
,Recife,10,2018,Food and Beverages,26.5608,0.48
,Recife,11,2018,Food and Beverages,26.6316,0.76
,Recife,12,2018,Food and Beverages,26.882,-0.33
,Recife,1,2019,Food and Beverages,26.7762,1.34
,Salvador,1,2012,Food and Beverages,25.2885,0.31
,Salvador,2,2012,Food and Beverages,25.3074,0.65
,Salvador,3,2012,Food and Beverages,25.358,-0.25
,Salvador,4,2012,Food and Beverages,25.2136,0.59
,Salvador,5,2012,Food and Beverages,25.2728,1.56
,Salvador,6,2012,Food and Beverages,25.4742,1.36
,Salvador,7,2012,Food and Beverages,25.7402,1.77
,Salvador,8,2012,Food and Beverages,26.0285,0.98
,Salvador,9,2012,Food and Beverages,26.175,1.64
,Salvador,10,2012,Food and Beverages,26.4413,0.98
,Salvador,11,2012,Food and Beverages,26.4696,0.54
,Salvador,12,2012,Food and Beverages,26.4895,0.82
,Salvador,1,2013,Food and Beverages,26.5485,2.17
,Salvador,2,2013,Food and Beverages,26.9268,2.07
,Salvador,3,2013,Food and Beverages,27.2926,0.94
,Salvador,4,2013,Food and Beverages,27.4156,1.35
,Salvador,5,2013,Food and Beverages,27.693,0.75
,Salvador,6,2013,Food and Beverages,27.8292,0.12
,Salvador,7,2013,Food and Beverages,27.7164,-0.33
,Salvador,8,2013,Food and Beverages,27.6254,0.35
,Salvador,9,2013,Food and Beverages,27.6529,-0.58
,Salvador,10,2013,Food and Beverages,27.4732,0.64
,Salvador,11,2013,Food and Beverages,27.6178,-0.09
,Salvador,12,2013,Food and Beverages,27.5263,1.02
,Salvador,1,2014,Food and Beverages,27.4746,0.72
,Salvador,2,2014,Food and Beverages,27.5199,0.48
,Salvador,3,2014,Food and Beverages,27.5103,0.98
,Salvador,4,2014,Food and Beverages,27.5899,1.01
,Salvador,5,2014,Food and Beverages,27.657,-0.16
,Salvador,6,2014,Food and Beverages,27.4906,0.43
,Salvador,7,2014,Food and Beverages,27.3811,0.32
,Salvador,8,2014,Food and Beverages,27.6035,0.47
,Salvador,9,2014,Food and Beverages,27.6114,0.8
,Salvador,10,2014,Food and Beverages,27.5521,0.1
,Salvador,11,2014,Food and Beverages,27.5803,-0.08
,Salvador,12,2014,Food and Beverages,27.4732,1.18
,Salvador,1,2015,Food and Beverages,27.649,1.01
,Salvador,2,2015,Food and Beverages,27.7354,1.47
,Salvador,3,2015,Food and Beverages,27.6822,1.17
,Salvador,4,2015,Food and Beverages,27.7861,0.21
,Salvador,5,2015,Food and Beverages,27.7053,1.27
,Salvador,6,2015,Food and Beverages,27.8436,1.77
,Salvador,7,2015,Food and Beverages,28.0208,1.57
,Salvador,8,2015,Food and Beverages,28.33,0.53
,Salvador,9,2015,Food and Beverages,28.3054,0.12
,Salvador,10,2015,Food and Beverages,28.2336,0.32
,Salvador,11,2015,Food and Beverages,28.1613,2.3
,Salvador,12,2015,Food and Beverages,28.5107,1.18
,Salvador,1,2016,Food and Beverages,28.6107,2.69
,Salvador,2,2016,Food and Beverages,28.9684,2.56
,Salvador,3,2016,Food and Beverages,29.2951,0.26
,Salvador,4,2016,Food and Beverages,29.4373,0.98
,Salvador,5,2016,Food and Beverages,29.5468,0.49
,Salvador,6,2016,Food and Beverages,29.435,1.28
,Salvador,7,2016,Food and Beverages,29.6524,1.76
,Salvador,8,2016,Food and Beverages,29.8548,0.21
,Salvador,9,2016,Food and Beverages,29.8499,0.49
,Salvador,10,2016,Food and Beverages,29.9591,-0.41
,Salvador,11,2016,Food and Beverages,29.6991,-0.73
,Salvador,12,2016,Food and Beverages,29.5436,-0.4
,Salvador,1,2017,Food and Beverages,29.3621,0.94
,Salvador,2,2017,Food and Beverages,29.4943,-1
,Salvador,3,2017,Food and Beverages,29.0429,-0.12
,Salvador,4,2017,Food and Beverages,29.0046,0.23
,Salvador,5,2017,Food and Beverages,29.1363,-0.49
,Salvador,6,2017,Food and Beverages,28.8817,0.43
,Salvador,7,2017,Food and Beverages,28.9825,0.51
,Salvador,8,2017,Food and Beverages,29.0069,0.32
,Salvador,9,2017,Food and Beverages,29.0824,-0.84
,Salvador,10,2017,Food and Beverages,28.7494,0.33
,Salvador,11,2017,Food and Beverages,28.7163,-1.99
,Salvador,12,2017,Food and Beverages,28.2553,-0.44
,Salvador,1,2018,Food and Beverages,28.1307,0.39
,Salvador,2,2018,Food and Beverages,28.1958,-0.45
,Salvador,3,2018,Food and Beverages,27.9227,-1.01
,Salvador,4,2018,Food and Beverages,27.7257,0.67
,Salvador,5,2018,Food and Beverages,27.8176,0.65
,Salvador,6,2018,Food and Beverages,27.6912,1.97
,Salvador,7,2018,Food and Beverages,27.9548,-0.28
,Salvador,8,2018,Food and Beverages,27.7707,-0.64
,Salvador,9,2018,Food and Beverages,27.641,0.4
,Salvador,10,2018,Food and Beverages,27.6352,0.64
,Salvador,11,2018,Food and Beverages,27.6847,0.65
,Salvador,12,2018,Food and Beverages,27.9809,1.78
,Salvador,1,2019,Food and Beverages,28.3417,-0.18
,Belo Horizonte,1,2012,Food and Beverages,20.8404,0.45
,Belo Horizonte,2,2012,Food and Beverages,20.82,0.67
,Belo Horizonte,3,2012,Food and Beverages,20.8294,0.39
,Belo Horizonte,4,2012,Food and Beverages,20.8221,0.25
,Belo Horizonte,5,2012,Food and Beverages,20.7508,0.98
,Belo Horizonte,6,2012,Food and Beverages,20.8161,0.3
,Belo Horizonte,7,2012,Food and Beverages,20.8486,1.04
,Belo Horizonte,8,2012,Food and Beverages,20.9785,0.99
,Belo Horizonte,9,2012,Food and Beverages,21.1063,1.63
,Belo Horizonte,10,2012,Food and Beverages,21.304,1.12
,Belo Horizonte,11,2012,Food and Beverages,21.4517,0.65
,Belo Horizonte,12,2012,Food and Beverages,21.4833,0.45
,Belo Horizonte,1,2013,Food and Beverages,21.4823,1.13
,Belo Horizonte,2,2013,Food and Beverages,21.5925,1.71
,Belo Horizonte,3,2013,Food and Beverages,21.7773,1.57
,Belo Horizonte,4,2013,Food and Beverages,21.984,0.97
,Belo Horizonte,5,2013,Food and Beverages,22.0533,0.29
,Belo Horizonte,6,2013,Food and Beverages,22.0098,0.42
,Belo Horizonte,7,2013,Food and Beverages,22.0344,-0.13
,Belo Horizonte,8,2013,Food and Beverages,21.9797,-0.53
,Belo Horizonte,9,2013,Food and Beverages,21.8582,0.29
,Belo Horizonte,10,2013,Food and Beverages,21.8495,0.76
,Belo Horizonte,11,2013,Food and Beverages,21.93,0.5
,Belo Horizonte,12,2013,Food and Beverages,21.9363,0.59
,Belo Horizonte,1,2014,Food and Beverages,21.9032,0.28
,Belo Horizonte,2,2014,Food and Beverages,21.8498,1.19
,Belo Horizonte,3,2014,Food and Beverages,21.9453,1.63
,Belo Horizonte,4,2014,Food and Beverages,22.1278,0.84
,Belo Horizonte,5,2014,Food and Beverages,22.1414,0.47
,Belo Horizonte,6,2014,Food and Beverages,22.089,0.51
,Belo Horizonte,7,2014,Food and Beverages,22.0829,0.21
,Belo Horizonte,8,2014,Food and Beverages,22.1082,-0.14
,Belo Horizonte,9,2014,Food and Beverages,22.0815,0.88
,Belo Horizonte,10,2014,Food and Beverages,22.1699,0.33
,Belo Horizonte,11,2014,Food and Beverages,22.1727,0.32
,Belo Horizonte,12,2014,Food and Beverages,22.1638,0.31
,Belo Horizonte,1,2015,Food and Beverages,22.1509,0.57
,Belo Horizonte,2,2015,Food and Beverages,22.0708,0.83
,Belo Horizonte,3,2015,Food and Beverages,22.0119,1.29
,Belo Horizonte,4,2015,Food and Beverages,21.9735,0.96
,Belo Horizonte,5,2015,Food and Beverages,22.0377,1.17
,Belo Horizonte,6,2015,Food and Beverages,22.1259,1.02
,Belo Horizonte,7,2015,Food and Beverages,22.165,1.37
,Belo Horizonte,8,2015,Food and Beverages,22.3079,-0.62
,Belo Horizonte,9,2015,Food and Beverages,22.1557,0.14
,Belo Horizonte,10,2015,Food and Beverages,22.0887,0.31
,Belo Horizonte,11,2015,Food and Beverages,22.0306,1.31
,Belo Horizonte,12,2015,Food and Beverages,22.1491,0.95
,Belo Horizonte,1,2016,Food and Beverages,22.2447,1.39
,Belo Horizonte,2,2016,Food and Beverages,22.3242,0.97
,Belo Horizonte,3,2016,Food and Beverages,22.3184,1.84
,Belo Horizonte,4,2016,Food and Beverages,22.6242,2.27
,Belo Horizonte,5,2016,Food and Beverages,22.9701,1.35
,Belo Horizonte,6,2016,Food and Beverages,23.0875,1.07
,Belo Horizonte,7,2016,Food and Beverages,23.1479,1.96
,Belo Horizonte,8,2016,Food and Beverages,23.4343,0.25
,Belo Horizonte,9,2016,Food and Beverages,23.4227,-0.49
,Belo Horizonte,10,2016,Food and Beverages,23.3108,-0.24
,Belo Horizonte,11,2016,Food and Beverages,23.1873,-0.57
,Belo Horizonte,12,2016,Food and Beverages,23.0362,-0.45
,Belo Horizonte,1,2017,Food and Beverages,22.8909,-0.33
,Belo Horizonte,2,2017,Food and Beverages,22.6985,-0.15
,Belo Horizonte,3,2017,Food and Beverages,22.5811,-0.42
,Belo Horizonte,4,2017,Food and Beverages,22.4984,0.36
,Belo Horizonte,5,2017,Food and Beverages,22.5932,0.23
,Belo Horizonte,6,2017,Food and Beverages,22.584,-0.22
,Belo Horizonte,7,2017,Food and Beverages,22.6158,-0.27
,Belo Horizonte,8,2017,Food and Beverages,22.4755,-1.59
,Belo Horizonte,9,2017,Food and Beverages,22.0531,-0.45
,Belo Horizonte,10,2017,Food and Beverages,21.8988,-0.43
,Belo Horizonte,11,2017,Food and Beverages,21.7392,-1.02
,Belo Horizonte,12,2017,Food and Beverages,21.5493,0.18
,Belo Horizonte,1,2018,Food and Beverages,21.5266,0.09
,Belo Horizonte,2,2018,Food and Beverages,21.4945,-0.33
,Belo Horizonte,3,2018,Food and Beverages,21.3515,0.09
,Belo Horizonte,4,2018,Food and Beverages,21.3258,0.56
,Belo Horizonte,5,2018,Food and Beverages,21.3961,-0.11
,Belo Horizonte,6,2018,Food and Beverages,21.3245,2.9
,Belo Horizonte,7,2018,Food and Beverages,21.5205,-0.2
,Belo Horizonte,8,2018,Food and Beverages,21.4294,-0.52
,Belo Horizonte,9,2018,Food and Beverages,21.3156,0.48
,Belo Horizonte,10,2018,Food and Beverages,21.354,0.87
,Belo Horizonte,11,2018,Food and Beverages,21.4587,0.24
,Belo Horizonte,12,2018,Food and Beverages,21.5423,-0.3
,Belo Horizonte,1,2019,Food and Beverages,21.4834,1.42
,Rio de Janeiro,1,2012,Food and Beverages,22.337,0.64
,Rio de Janeiro,2,2012,Food and Beverages,22.261,0.46
,Rio de Janeiro,3,2012,Food and Beverages,22.1364,0.36
,Rio de Janeiro,4,2012,Food and Beverages,22.222,0.04
,Rio de Janeiro,5,2012,Food and Beverages,22.0515,0.25
,Rio de Janeiro,6,2012,Food and Beverages,22.0925,1.6
,Rio de Janeiro,7,2012,Food and Beverages,22.379,1.41
,Rio de Janeiro,8,2012,Food and Beverages,22.5561,1.06
,Rio de Janeiro,9,2012,Food and Beverages,22.6873,1.49
,Rio de Janeiro,10,2012,Food and Beverages,22.8454,1.29
,Rio de Janeiro,11,2012,Food and Beverages,23.0292,-0.77
,Rio de Janeiro,12,2012,Food and Beverages,22.7583,1.25
,Rio de Janeiro,1,2013,Food and Beverages,22.7693,0.86
,Rio de Janeiro,2,2013,Food and Beverages,22.8333,1.1
,Rio de Janeiro,3,2013,Food and Beverages,23.0161,1.86
,Rio de Janeiro,4,2013,Food and Beverages,23.3871,0.85
,Rio de Janeiro,5,2013,Food and Beverages,23.4567,0.37
,Rio de Janeiro,6,2013,Food and Beverages,23.3956,1.14
,Rio de Janeiro,7,2013,Food and Beverages,23.486,0.07
,Rio de Janeiro,8,2013,Food and Beverages,23.5142,-0.02
,Rio de Janeiro,9,2013,Food and Beverages,23.4607,0.53
,Rio de Janeiro,10,2013,Food and Beverages,23.4822,1.17
,Rio de Janeiro,11,2013,Food and Beverages,23.6273,0.01
,Rio de Janeiro,12,2013,Food and Beverages,23.4644,1.04
,Rio de Janeiro,1,2014,Food and Beverages,23.4508,0.67
,Rio de Janeiro,2,2014,Food and Beverages,23.5242,0.47
,Rio de Janeiro,3,2014,Food and Beverages,23.3673,2.28
,Rio de Janeiro,4,2014,Food and Beverages,23.6083,1.14
,Rio de Janeiro,5,2014,Food and Beverages,23.7808,0.74
,Rio de Janeiro,6,2014,Food and Beverages,23.8258,0.71
,Rio de Janeiro,7,2014,Food and Beverages,23.8818,-0.01
,Rio de Janeiro,8,2014,Food and Beverages,23.8732,0.56
,Rio de Janeiro,9,2014,Food and Beverages,23.9048,0.63
,Rio de Janeiro,10,2014,Food and Beverages,23.9617,0.35
,Rio de Janeiro,11,2014,Food and Beverages,23.9223,0.01
,Rio de Janeiro,12,2014,Food and Beverages,23.8066,2.06
,Rio de Janeiro,1,2015,Food and Beverages,23.979,1.03
,Rio de Janeiro,2,2015,Food and Beverages,23.8497,1.09
,Rio de Janeiro,3,2015,Food and Beverages,23.8192,0.66
,Rio de Janeiro,4,2015,Food and Beverages,23.6721,0.92
,Rio de Janeiro,5,2015,Food and Beverages,23.7051,1
,Rio de Janeiro,6,2015,Food and Beverages,23.8655,0.52
,Rio de Janeiro,7,2015,Food and Beverages,23.8168,1.19
,Rio de Janeiro,8,2015,Food and Beverages,23.9666,-0.18
,Rio de Janeiro,9,2015,Food and Beverages,23.9131,0.68
,Rio de Janeiro,10,2015,Food and Beverages,23.9441,0.32
,Rio de Janeiro,11,2015,Food and Beverages,23.8791,1.82
,Rio de Janeiro,12,2015,Food and Beverages,24.0265,1.79
,Rio de Janeiro,1,2016,Food and Beverages,24.1624,2.06
